,Method,Precision_normal,Recall_Normal,Precision_SMOTE,Recall_SMOTE
0,LogReg,0.9093627789279963,0.9952165156092648,0.9595430107526882,0.8986656596173213
1,RandomForest,0.8900840336134453,1.0,0.9236931432450781,0.8563695871097684
2,XGBoost,0.9189947399181765,0.9896777442094663,0.9518730489073881,0.9211983887210473
